# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'L1-icache-load-misses'
# Event count (approx.): 3950
#
# Overhead  Command      Source Shared Object   Source Symbol                        Target Symbol                         Basic Block Cycles
# ........  ...........  .....................  ...................................  ....................................  ..................
#
     0.20%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd24               [k] 0xffffffffa86a3750                5                 
     0.20%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa876e781               [.] 0xffffffffa864c950                2                 
     0.20%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa8caf48a               [.] 0xffffffffa88b3032                35                
     0.20%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db5998               [k] 0xffffffffa8db608e                34                
     0.18%  mc-lrumaint  memcached              [k] lru_maintainer_thread            [k] usleep@plt                        2                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                1                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8642739               [k] 0xffffffffa93b8fe7                5                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                38                
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86969c3               [k] 0xffffffffa869dd1f                7                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a376e               [k] 0xffffffffa869dd29                11                
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa8db73d5                4                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db73d0               [k] 0xffffffffa875eac0                4                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93b908f               [k] 0xffffffffa93b9271                12                
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93b9135               [k] 0xffffffffa940178e                21                
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93b91c9               [k] 0xffffffffa93bb860                9                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93bb876               [k] 0xffffffffa93bb6e0                6                 
     0.18%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93c4ae5               [k] 0xffffffffa8764760                3                 
     0.15%  mc-lrumaint  memcached              [.] lru_maintainer_thread            [.] bipbuf_peek_all                   1                 
     0.15%  mc-lrumaint  libc.so.6              [.] clock_nanosleep                  [.] __nanosleep                       1                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa860686b               [k] 0xffffffffa889ff90                1                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426ba               [k] 0xffffffffa8649d70                5                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426ba               [k] 0xffffffffa8649d70                4                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                35                
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8684b85               [k] 0xffffffffa86426cf                1                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd1a               [k] 0xffffffffa86969c0                8                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869ddff               [k] 0xffffffffa86a1e8a                14                
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcbfc               [k] 0xffffffffa93c4445                1                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8760f6c               [k] 0xffffffffa8760ef0                2                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa87647b7               [k] 0xffffffffa93c4aea                2                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a17bc               [k] 0xffffffffa88a1971                3                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db3362               [k] 0xffffffffa8db2ed0                5                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db33cd               [k] 0xffffffffa8d353d0                3                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db6065               [k] 0xffffffffa8db3330                4                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db70f8               [k] 0xffffffffa8db6040                5                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db73b5               [k] 0xffffffffa8db70c0                2                 
     0.15%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93c45f7               [k] 0xffffffffa93c4979                3                 
     0.15%  memcached    libc.so.6              [.] epoll_wait                       [.] 0x000000000002af14                1                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa860686b               [k] 0xffffffffa889ff90                1                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                10                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                42                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                38                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa86426bf                1                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa869dd2d               [k] 0xffffffffa869ddf5                5                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86a1e92               [k] 0xffffffffa8db58f9                7                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86a376e               [k] 0xffffffffa869dd29                11                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa8642728                2                 
     0.15%  memcached    [kernel.kallsyms]      [.] 0xffffffffa876e759               [.] 0xffffffffa93bb977                35                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8db5998               [k] 0xffffffffa8db608e                34                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93b9135               [k] 0xffffffffa940178e                21                
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93bb876               [k] 0xffffffffa93bb6e0                6                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93c45f7               [k] 0xffffffffa93c4979                3                 
     0.15%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93c4999               [k] 0xffffffffa93c90a7                2                 
     0.13%  mc-lrumaint  memcached              [.] fill_item_stats_automove         [.] pthread_mutex_unlock@plt          4                 
     0.13%  mc-lrumaint  memcached              [.] lru_maintainer_thread            [.] pthread_mutex_unlock@plt          1                 
     0.13%  mc-lrumaint  memcached              [.] lru_maintainer_thread            [.] pthread_mutex_lock@plt            3                 
     0.13%  mc-lrumaint  libc.so.6              [.] pthread_mutex_lock               [.] fill_item_stats_automove          51                
     0.13%  mc-lrumaint  libc.so.6              [.] pthread_mutex_lock               [.] fill_item_stats_automove          47                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                10                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa8606865                1                 
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd2d               [k] 0xffffffffa869ddf5                5                 
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869ddff               [k] 0xffffffffa86a1e8a                13                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8738061               [k] 0xffffffffa8736620                1                 
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8760f15               [k] 0xffffffffa8760f71                2                 
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8776800               [k] 0xffffffffa8776961                14                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a1978               [k] 0xffffffffa88a29d3                1                 
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db60a3               [k] 0xffffffffa8db70fd                10                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db7138               [k] 0xffffffffa8db73ba                19                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa93b74ee               [.] 0xffffffffa94000da                11                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa93bb986               [.] 0xffffffffa93b74e9                11                
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93c44b4               [k] 0xffffffffa86fe400                2                 
     0.13%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93c4999               [k] 0xffffffffa93c91d6                2                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                2                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8642723               [k] 0xffffffffa875eac0                2                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                36                
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa869ddff               [k] 0xffffffffa86a1e8a                13                
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86a3759               [k] 0xffffffffa86a37c0                4                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa870a537               [k] 0xffffffffa871640a                5                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8716405               [k] 0xffffffffa870a4f0                1                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8716eb3               [k] 0xffffffffa8717092                8                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa8db73d5                4                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8c9644f               [k] 0xffffffffa8c4fc80                3                 
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8db60a3               [k] 0xffffffffa8db70fd                10                
     0.13%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93b91c9               [k] 0xffffffffa93bb860                9                 
     0.10%  mc-lrumaint  memcached              [.] fill_item_stats_automove         [.] pthread_mutex_unlock@plt          23                
     0.10%  mc-lrumaint  memcached              [.] lru_maintainer_thread            [.] STATS_LOCK                        2                 
     0.10%  mc-lrumaint  libc.so.6              [.] pthread_mutex_lock               [.] fill_item_stats_automove          50                
     0.10%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] lru_maintainer_thread             24                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8606860               [k] 0xffffffffa8649d70                6                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8610b6f               [k] 0xffffffffa860685d                16                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                2                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8684b7c               [k] 0xffffffffa8c9b580                27                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa868a883               [k] 0xffffffffa8610b5b                9                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869d9a3               [k] 0xffffffffa869dd14                15                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa869dd2d               [k] 0xffffffffa869ddf5                4                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8709267               [k] 0xffffffffa86fe43c                2                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8709267               [k] 0xffffffffa88a187e                2                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870a557               [k] 0xffffffffa8712c4f                5                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa871634e               [k] 0xffffffffa8712be0                4                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8738056               [k] 0xffffffffa87372b0                3                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa88a06d3                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa8d35477                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa877595c               [k] 0xffffffffa93c9200                5                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8775c1e               [k] 0xffffffffa87767ea                13                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa877696f               [k] 0xffffffffa93ca320                9                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa87e0215               [k] 0xffffffffa87e1479                5                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88968b0               [k] 0xffffffffa88a2999                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88969cd               [k] 0xffffffffa88a1729                2                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88969cd               [k] 0xffffffffa88a1749                3                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a06ce               [k] 0xffffffffa875eac0                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a06ea               [k] 0xffffffffa88a0e06                2                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a0e09               [k] 0xffffffffa889ccf6                4                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a0e09               [k] 0xffffffffa889ccf6                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88a2961               [k] 0xffffffffa93ca610                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa88b3005               [.] 0xffffffffa88b2d90                29                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa88b3397               [.] 0xffffffffa876e69d                52                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8c539b2               [k] 0xffffffffa8770fde                3                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa8cac994               [.] 0xffffffffa88b2dab                77                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa8caf48a               [.] 0xffffffffa88b3032                36                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8d35498               [k] 0xffffffffa8db33d2                3                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db7138               [k] 0xffffffffa8db73ba                20                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93b74b2               [k] 0xffffffffa93bb8d0                30                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93b74e4               [k] 0xffffffffa93bb950                38                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93bb728               [k] 0xffffffffa93bb87b                13                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93bb895               [k] 0xffffffffa93b91ce                9                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93bb906               [k] 0xffffffffa93b74b7                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93c4440               [k] 0xffffffffa86fcbe0                1                 
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93c91e5               [k] 0xffffffffa93c4ad0                24                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93ca622               [k] 0xffffffffa88a2966                18                
     0.10%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa93ca622               [k] 0xffffffffa8db7396                25                
     0.10%  memcached    libevent-2.1.so.7.0.1  [.] event_base_loop                  [.] 0x000000000001c690                3                 
     0.10%  memcached    libevent-2.1.so.7.0.1  [.] evutil_gettime_monotonic_        [.] 0x000000000001c717                8                 
     0.10%  memcached    libevent-2.1.so.7.0.1  [.] 0x000000000001c702               [.] event_base_loop                   5                 
     0.10%  memcached    libc.so.6              [.] clock_gettime                    [.] evutil_gettime_monotonic_         2                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa860f145               [k] 0xffffffffa8696e90                12                
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8642739               [k] 0xffffffffa93b8fe7                2                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                39                
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                7                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa8606865                1                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa8709252                1                 
     0.10%  memcached    [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                3                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa868a883               [k] 0xffffffffa8610b5b                9                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa869dd1a               [k] 0xffffffffa86969c0                8                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa870a580               [k] 0xffffffffa8716390                3                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8712fb4               [k] 0xffffffffa87163f8                1                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8716418               [k] 0xffffffffa8716893                2                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa871708d               [k] 0xffffffffa8716e50                2                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8718718               [k] 0xffffffffa8c96430                3                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa88a06d3                2                 
     0.10%  memcached    [kernel.kallsyms]      [.] 0xffffffffa876e722               [.] 0xffffffffa864c440                2                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa88a0e09               [k] 0xffffffffa889ccf6                1                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa88a0ed3               [k] 0xffffffffa88a146f                29                
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa88a10c8               [k] 0xffffffffa8895090                3                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa88a1978               [k] 0xffffffffa88a29d3                26                
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa88a84a5               [k] 0xffffffffa86101a6                3                 
     0.10%  memcached    [kernel.kallsyms]      [.] 0xffffffffa88b2de7               [.] 0xffffffffa88b300a                8                 
     0.10%  memcached    [kernel.kallsyms]      [.] 0xffffffffa88b302d               [.] 0xffffffffa8caf470                3                 
     0.10%  memcached    [kernel.kallsyms]      [.] 0xffffffffa88b3058               [.] 0xffffffffa88b335d                6                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8997de4               [k] 0xffffffffa89f58cf                1                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa89f55de               [k] 0xffffffffa89f58fa                12                
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8c4fd0a               [k] 0xffffffffa8c96454                6                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8c96455               [k] 0xffffffffa871871d                1                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8c9e180               [k] 0xffffffffa88a149f                7                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8db73fb               [k] 0xffffffffa86426cf                32                
     0.10%  memcached    [kernel.kallsyms]      [.] 0xffffffffa93b948b               [.] 0xffffffffa93bb985                2                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93c90ab               [k] 0xffffffffa8775920                1                 
     0.10%  memcached    [kernel.kallsyms]      [k] 0xffffffffa93c9105               [k] 0xffffffffa93c9143                4                 
     0.08%  mc-lrumaint  memcached              [.] lru_pull_tail                    [.] pthread_mutex_unlock@plt          2                 
     0.08%  mc-lrumaint  memcached              [.] lru_pull_tail                    [.] lru_maintainer_thread             3                 
     0.08%  mc-lrumaint  memcached              [.] lru_maintainer_thread            [.] pthread_mutex_unlock@plt          2                 
     0.08%  mc-lrumaint  memcached              [.] lru_maintainer_thread            [.] STATS_UNLOCK                      1                 
     0.08%  mc-lrumaint  libc.so.6              [.] pthread_mutex_lock               [.] fill_item_stats_automove          56                
     0.08%  mc-lrumaint  libc.so.6              [.] pthread_mutex_lock               [.] fill_item_stats_automove          46                
     0.08%  mc-lrumaint  libc.so.6              [k] clock_nanosleep                  [k] 0xffffffffa9400040                41                
     0.08%  mc-lrumaint  libc.so.6              [k] clock_nanosleep                  [k] 0xffffffffa9400040                40                
     0.08%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] fill_item_stats_automove          36                
     0.08%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] fill_item_stats_automove          24                
     0.08%  mc-lrumaint  libc.so.6              [k] 0x000000000008dbd6               [k] lru_maintainer_thread             77                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8606879               [k] 0xffffffffa86426cf                10                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609309               [k] 0xffffffffa88a2a19                15                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609ee7               [k] 0xffffffffa88a06ca                16                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8609ee7               [k] 0xffffffffa88a06ca                3                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8684b70                1                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426cd               [k] 0xffffffffa8db7360                10                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                19                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649cb0               [k] 0xffffffffa8609f46                1                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                4                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c478               [.] 0xffffffffa876e727                5                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa864c9c3               [.] 0xffffffffa876e786                25                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fcd03               [k] 0xffffffffa86fcf6e                4                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe4b6               [k] 0xffffffffa93c44b9                29                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86fe74c               [k] 0xffffffffa87167e0                61                
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870924d               [k] 0xffffffffa8649d70                2                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa870a537               [k] 0xffffffffa871640a                5                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8712fb4               [k] 0xffffffffa87163f8                1                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8716405               [k] 0xffffffffa870a4f0                1                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa88a06d3                2                 
     0.08%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa8db73d5                11                
