# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'L1-icache-load-misses'
# Event count (approx.): 3950
#
# Overhead  Command      Source Shared Object   Source Symbol                        Target Symbol                         Basic Block Cycles
# ........  ...........  .....................  ...................................  ....................................  ..................
#
     0.73%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa86426dc                1                 
     0.68%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                1                 
     0.46%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa86426bf                1                 
     0.35%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                8                 
     0.35%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa86426dc                1                 
     0.33%  mc-lrumaint  memcached              [k] fill_item_stats_automove         [k] pthread_mutex_lock@plt            3                 
     0.33%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d7a               [k] 0xffffffffa8709252                1                 
     0.30%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86426d7               [k] 0xffffffffa8649d70                2                 
     0.30%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                1                 
     0.28%  mc-lrumaint  memcached              [.] fill_item_stats_automove         [.] pthread_mutex_unlock@plt          1                 
     0.28%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                42                
     0.28%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                7                 
     0.28%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa876e759               [.] 0xffffffffa93bb977                35                
     0.28%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa88b3058               [.] 0xffffffffa88b335d                6                 
     0.28%  memcached    [kernel.kallsyms]      [k] 0xffffffffa8649d74               [k] 0xffffffffa8649240                8                 
     0.25%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                36                
     0.25%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a1e92               [k] 0xffffffffa8db58f9                7                 
     0.25%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa876e677               [k] 0xffffffffa8c10020                1                 
     0.25%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa876e722               [.] 0xffffffffa864c440                2                 
     0.25%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa88b2de7               [.] 0xffffffffa88b300a                8                 
     0.25%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa88b302d               [.] 0xffffffffa8caf470                3                 
     0.23%  mc-lrumaint  memcached              [.] fill_item_stats_automove         [.] pthread_mutex_lock@plt            1                 
     0.23%  mc-lrumaint  libc.so.6              [.] 0x000000000008dbd6               [.] fill_item_stats_automove          47                
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8642723               [k] 0xffffffffa875eac0                2                 
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86492f2               [k] 0xffffffffa8649d79                37                
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa86a3759               [k] 0xffffffffa86a37c0                4                 
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa875eaca               [k] 0xffffffffa8642728                2                 
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa88b3358               [k] 0xffffffffa88b2fc0                18                
     0.23%  mc-lrumaint  [kernel.kallsyms]      [k] 0xffffffffa8db73fb               [k] 0xffffffffa86426cf                28                
     0.23%  mc-lrumaint  [kernel.kallsyms]      [.] 0xffffffffa93b948b               [.] 0xffffffffa93bb985                2                 
